pre_range15,ticket_id,pl_pips,realized_pl
"(0, 5]",46,-0.045652173913261394,-1.6799999999999873
"(5, 10]",274,-1.1660583941606333,-2643.574
"(10, 15]",441,-0.15238095238081636,-697.433
"(15, 20]",388,-1.0317010309278607,-3805.15
"(20, 50]",270,-1.4477777777778695,-2994.0
