strategy,result,trades,realized_pl,avg_pips,mfe15,mae15,hold_sec
BB_RSI,loss,2,-11.572,-8.199999999999363,3.900000000000148,10.04999999999967,501.0
BB_RSI,win,2,3.28,8.200000000000784,9.300000000000352,2.4499999999974875,1244.5
MicroTrendPullback,loss,7,-66.666,-7.228571428572244,4.542857142856909,10.828571428572786,529.0
MicroTrendPullback,win,11,44.368,3.036363636363407,7.872727272726624,5.936363636363819,290.0
ScalpMeanRevert,flat,5,0.0,0.0,4.959999999999809,9.739999999999895,47.0
ScalpMeanRevert,loss,853,-22420.842,-3.0650644783118484,3.5826494724501163,10.534114888628393,66.0
ScalpMeanRevert,win,561,12279.005000000001,2.557040998217484,8.60534759358291,4.35311942958993,101.0
TrendMA,loss,9,-11.99,-6.533333333333265,2.5555555555560736,9.999999999999748,309.0
TrendMA,win,18,27.474,3.8611111111110734,7.788888888888184,5.733333333333708,511.5
